/* 64- and 128- Bit Instructions */
/*  Instruction;Operands;Operation;Decode Unit;Execution Unit;Base Latency; */
/*              +Memory Latency;Throughput;Category  */
/*  By default, if an instruction has no character to its left, this means */
/*  that there is always a 2-cycle difference between that instruction have */
/*  only xmmister operands and that instruction having a memory operand. */
/*  Any instruction that has a memory operand as its second operand is a */
/*  LOAD. Instructions with an * in front of them means that the operands */
/*  must be inspected before you can tell which        */
/*  execution it will use and, therefore, its latency. */

/* WALEED: notes, I'm making a line for each unique combination of operands */
/*   I'm also removing the memory + latency because that should be taken care of in the model and since */
/*   We are reading a detailed instruction mix, each line of which should hit in exactly one line here */ 
/* also, replaced all CL/.. references with 'reg' and constant '1''s with 'imm'
// all entries with unspecified reg size, replaced to reg8/16/32/64
// finally, entries with unspecified 'mem' size also replaced to mem8/mem16/mem32/mem64

UCOMISD  xmm,mem         ADD     single  FADD       3    2    1/1   FADD-3
UCOMISS  xmm,mem         ADD     single  FADD       3    2    1/1   FADD-3
ADDPD    xmm,mem         ADD     single  FADD       4    2    1/1   FADD-4
ADDPS    xmm,mem         ADD     single  FADD       4    2    1/1   FADD-4
ADDSD    xmm,mem         ADD     single  FADD       4    2    1/1   FADD-4
ADDSS    xmm,mem         ADD     single  FADD       4    2    1/1   FADD-4
SUBPD    xmm,mem         ADD     single  FADD       4    2    1/1   FADD-4
SUBPS    xmm,mem         ADD     single  FADD       4    2    1/1   FADD-4
SUBSD    xmm,mem         ADD     single  FADD       4    2    1/1   FADD-4
SUBSS    xmm,mem         ADD     single  FADD       4    2    1/1   FADD-4
ADDSUBPD xmm,mem         ADD     single  FADD       4    2    1/1   FADD-4
ADDSUBPS xmm,mem         ADD     single  FADD       4    2    1/1   FADD-4
HADDPD   xmm,mem         ADD     single  FADD       4    2    1/1   FADD-4
HADDPS   xmm,mem         ADD     single  FADD       4    2    1/1   FADD-4
HSUBPD   xmm,mem         ADD     single  FADD       4    2    1/1   FADD-4
HSUBPS   xmm,mem         ADD     single  FADD       4    2    1/1   FADD-4
PF2ID    mm,mm           ADD     single  FSTORE       5    0    1/1   FADD-5
PF2IW    mm,mm           ADD     single  FSTORE       5    0    1/1   FADD-5
PI2FD    mm,mm           ADD     single  FSTORE       5    0    1/1   FADD-5
PI2FW    mm,mm           ADD     single  FSTORE       5    0    1/1   FADD-5
PFACC    mm,mm           ADD     single  FADD       4    0    1/1   FADD-4
PFADD    mm,mm           ADD     single  FADD       4    0    1/1   FADD-4
PFNACC   mm,mm           ADD     single  FADD       4    0    1/1   FADD-4
PFPNACC  mm,mm           ADD     single  FADD       4    0    1/1   FADD-4
PFSUB    mm,mm           ADD     single  FADD       4    0    1/1   FADD-4
PFSUBR   mm,mm           ADD     single  FADD       4    0    1/1   FADD-4
*PINSRW  xmm/mm,reg32/reg64,imm     ADD     double  FADD/FMUL  9    0    1/3   FADD-9
*PINSRW  xmm/mm,mem,imm             ADD     single  FADD/FMUL  4    0    1/1   FADD-9
LDDQU    xmm,mem                    LOAD    single  FADD/FMUL/FSTORE     2    0    2/1   FLOAD-2


CVTDQ2PS xmm,xmm         CNVT    single  FSTORE     4    0    1/1   REGWRITE-4
CVTDQ2PD xmm,xmm         CNVT    single  FSTORE     4    0    1/1   REGWRITE-4
CVTDQ2PS xmm,mem         CNVT    single  FSTORE     4    2    1/1   REGWRITE-4
CVTDQ2PD xmm,mem         CNVT    single  FSTORE     4    2    1/1   REGWRITE-4
CVTPD2DQ xmm,xmm    ADD/WRITE double  (FADD/FMUL)&FSTORE 7    0  1/1  REGWRITE-7
CVTTPD2DQ xmm,xmm   ADD/WRITE double  (FADD/FMUL)&FSTORE 7    0  1/1  REGWRITE-7
CVTPD2DQ xmm,mem    ADD/WRITE double  (FADD/FMUL)&FSTORE 7    2  1/1  REGWRITE-7
CVTTPD2DQ xmm,mem   ADD/WRITE double  (FADD/FMUL)&FSTORE 7    2  1/1  REGWRITE-7
CVTPD2PI mm,xmm     ADD/WRITE double  (FADD/FMUL)&FSTORE 7    0  1/1  REGWRITE-7
CVTTPD2PI mm,xmm    ADD/WRITE double  (FADD/FMUL)&FSTORE 7    0  1/1  REGWRITE-7
CVTPD2PI mm,mem     ADD/WRITE double  (FADD/FMUL)&FSTORE 7    2  1/1  REGWRITE-7
CVTTPD2PI mm,mem    ADD/WRITE double  (FADD/FMUL)&FSTORE 7    2  1/1  REGWRITE-7
CVTPD2PS xmm,xmm    CNVT      double  (FADD/FMUL)&FSTORE 7    0  1/1  REGWRITE-7
CVTPD2PS xmm,mem    CNVT      double  (FADD/FMUL)&FSTORE 7    2  1/1  REGWRITE-7
CVTPI2PD xmm,mm     CNVT      single  FSTORE     4    0    1/1   REGWRITE-4
CVTPI2PD xmm,mem    CNVT      single  FSTORE     4    2    1/1   REGWRITE-4
CVTPI2PS xmm,mm     ADD/WRITE double  (FADD/FMUL)&FSTORE 7    0  1/1  REGWRITE-7
CVTPI2PS xmm,mem    ADD/WRITE double  (FADD/FMUL)&FSTORE 7    2  1/1  REGWRITE-7
CVTPS2DQ xmm,xmm         CNVT    single  FSTORE     4    0    1/1   REGWRITE-4
CVTTPS2DQ xmm,xmm        CNVT    single  FSTORE     4    0    1/1   REGWRITE-4
CVTPS2DQ xmm,mem         CNVT    single  FSTORE     4    2    1/1   REGWRITE-4
CVTTPS2DQ xmm,mem        CNVT    single  FSTORE     4    2    1/1   REGWRITE-4
CVTPS2PD xmm,xmm         CNVT    single  FSTORE     2    0    1/1   REGWRITE-2
CVTPS2PD xmm,mem         CNVT    single  FSTORE     2    2    1/1   REGWRITE-2
CVTPS2PI mm,xmm          CNVT    single  FSTORE     4    0    1/1   REGWRITE-4
CVTTPS2PI mm,xmm         CNVT    single  FSTORE     4    0    1/1   REGWRITE-4
CVTPS2PI mm,mem          CNVT    single  FSTORE     4    2    1/1   REGWRITE-4
CVTTPS2PI mm,mem         CNVT    single  FSTORE     4    2    1/1   REGWRITE-4
CVTSD2SI  reg32/reg64,xmm        ADD/WRITE double  FADD&FSTORE 8   0   1/1  REGWRITE-8
CVTTSD2SI reg32/reg64,xmm        ADD/WRITE double  FADD&FSTORE 8   0   1/1  REGWRITE-8
CVTSD2SI  reg32/reg64,mem        ADD/WRITE double  FADD&FSTORE 8   2   1/1  REGWRITE-8
CVTTSD2SI reg32/reg64,mem        ADD/WRITE double  FADD&FSTORE 8   2   1/1  REGWRITE-8
CVTSD2SS xmm,xmm                 CNVT    vector  (FADD/FMUL)&FSTORE 8    0  1/8  REGWRITE-8
CVTSD2SS xmm,mem                 CNVT    double  (FADD/FMUL)&FSTORE 9    0  1/1  REGWRITE-8
CVTSI2SD xmm/reg32/reg64,mem     ADD/WRITE double  (FADD/FMUL)&FSTORE 9    0  1/1  REGWRITE-9 
CVTSI2SD xmm,xmm/reg32/reg64     ADD/WRITE vector  (FADD/FMUL)&FSTORE 14   0  1/3  REGWRITE-14
CVTSI2SS xmm/reg32/reg64,mem     ADD/WRITE double  (FADD/FMUL)&FSTORE 9    0  1/1  REGWRITE-9
CVTSI2SS xmm,xmm/reg32/reg64     ADD/WRITE vector  (FADD/FMUL)&FSTORE 14   0  1/3  REGWRITE-14
CVTSS2SD xmm,xmm                 ADD/WRITE vector  (FADD/FMUL)&FSTORE 7  0  1/2  REGWRITE-7
CVTSS2SD xmm,mem                 ADD/WRITE double  (FADD/FMUL)&FSTORE 7  0  1/2  REGWRITE-7
CVTSS2SI  reg32/reg64,xmm        ADD/WRITE double  FADD&FSTORE 8   0   1/1  REGWRITE-8
CVTTSS2SI reg32/reg64,xmm        ADD/WRITE double  FADD&FSTORE 8   0   1/1  REGWRITE-8
CVTSS2SI  reg32/reg64,mem        ADD/WRITE double  FADD&FSTORE 8   2   1/1  REGWRITE-8
CVTTSS2SI reg32/reg64,mem        ADD/WRITE double  FADD&FSTORE 8   2   1/1  REGWRITE-8
CVTSS2SS xmm,xmm                 ADD/WRITE vector  (FADD/FMUL)&FSTORE 8  0  1/1  REGWRITE-8
CVTSS2SS xmm,mem                 ADD/WRITE vector  (FADD/FMUL)&FSTORE 8  2  1/1  REGWRITE-8

PEXTRW   reg32/reg64/mem,xmm/mm,imm  ADD/WRITE double FADD&FSTORE 6   0   1/1   REGWRITE-6


PFRCP    mm,mm           FMUL    single  FMUL       3    0    1/1   FMUL-3
PFRSQRT  mm,mm           FMUL    single  FMUL       3    0    1/1   FMUL-3

PMADDWD  xmm/mm,xmm/mm   FMUL    single  FMUL       3    0    1/1   FMUL-3
PMULHUW  xmm/mm,xmm/mm   FMUL    single  FMUL       3    0    1/1   FMUL-3
PMULHW   xmm/mm,xmm/mm   FMUL    single  FMUL       3    0    1/1   FMUL-3
PMULLW   xmm/mm,xmm/mm   FMUL    single  FMUL       3    0    1/1   FMUL-3
PMULUDQ  xmm/mm,xmm/mm   FMUL    single  FMUL       3    0    1/1   FMUL-3
PMULHRW  xmm/mm,xmm/mm   FMUL    single  FMUL       3    0    1/1   FMUL-3
PMADDWD  xmm/mm,mem      FMUL    single  FMUL       3    2    1/1   FMUL-3
PMULHUW  xmm/mm,mem      FMUL    single  FMUL       3    2    1/1   FMUL-3
PMULHW   xmm/mm,mem      FMUL    single  FMUL       3    2    1/1   FMUL-3
PMULLW   xmm/mm,mem      FMUL    single  FMUL       3    2    1/1   FMUL-3
PMULUDQ  xmm/mm,mem      FMUL    single  FMUL       3    2    1/1   FMUL-3
PMULHRW  xmm/mm,mem      FMUL    single  FMUL       3    2    1/1   FMUL-3
RCPPS    xmm,xmm         FMUL    single  FMUL       3    0    1/1   FMUL-3
RCPSS    xmm,xmm         FMUL    single  FMUL       3    0    1/1   FMUL-3
RSQRTPS  xmm,xmm         FMUL    single  FMUL       3    0    1/1   FMUL-3
RSQRTSS  xmm,xmm         FMUL    single  FMUL       3    0    1/1   FMUL-3
RCPPS    xmm,mem         FMUL    single  FMUL       3    2    1/1   FMUL-3
RCPSS    xmm,mem         FMUL    single  FMUL       3    2    1/1   FMUL-3
RSQRTPS  xmm,mem         FMUL    single  FMUL       3    2    1/1   FMUL-3
RSQRTSS  xmm,mem         FMUL    single  FMUL       3    2    1/1   FMUL-3

MULPD    xmm,xmm         FMUL    single  FMUL       4    0    1/1   FMUL-4
MULPS    xmm,xmm         FMUL    single  FMUL       4    0    1/1   FMUL-4
MULSD    xmm,xmm         FMUL    single  FMUL       4    0    1/1   FMUL-4
MULSS    xmm,xmm         FMUL    single  FMUL       4    0    1/1   FMUL-4
MULPD    xmm,mem         FMUL    single  FMUL       4    2    1/1   FMUL-4
MULPS    xmm,mem         FMUL    single  FMUL       4    2    1/1   FMUL-4
MULSD    xmm,mem         FMUL    single  FMUL       4    2    1/1   FMUL-4
MULSS    xmm,mem         FMUL    single  FMUL       4    2    1/1   FMUL-4

PFMUL    mm,mm           FMUL    single  FMUL       4    0    1/1   FMUL-4
PFRCPIT1 mm,mm           FMUL    single  FMUL       4    0    1/1   FMUL-4
PFRCPIT2 mm,mm           FMUL    single  FMUL       4    0    1/1   FMUL-4
PFRSQIT1 mm,mm           FMUL    single  FMUL       4    0    1/1   FMUL-4

DIVSS    xmm,xmm         FDIV    single  FMUL       16   0    1/13  FDIV-16
DIVPS    xmm,xmm         FDIV    single  FMUL       18   0    1/15  FDIV-18
DIVPD    xmm,xmm         FDIV    single  FMUL       20   0    1/17  FDIV-20
DIVSD    xmm,xmm         FDIV    single  FMUL       20   0    1/17  FDIV-20
SQRTSS   xmm,xmm         SQRT    single  FMUL       19   0    1/18  FSQRT-19
SQRTPS   xmm,xmm         SQRT    single  FMUL       21   0    1/18  FSQRT-21
SQRTPD   xmm,xmm         SQRT    single  FMUL       27    0    1/24  FSQRT-27
SQRTSD   xmm,xmm         SQRT    single  FMUL       27    0    1/24  FSQRT-27
DIVSS    xmm,mem         FDIV    single  FMUL       16   2    1/13  FDIV-16
DIVPS    xmm,mem         FDIV    single  FMUL       18   2    1/15  FDIV-18
DIVPD    xmm,mem         FDIV    single  FMUL       20   2    1/17  FDIV-20
DIVSD    xmm,mem         FDIV    single  FMUL       20   2    1/17  FDIV-20
SQRTSS   xmm,mem         SQRT    single  FMUL       19   2    1/18  FSQRT-19
SQRTPS   xmm,mem         SQRT    single  FMUL       21   2    1/18  FSQRT-21
SQRTPD   xmm,mem         SQRT    single  FMUL       27   2    1/24  FSQRT-27
SQRTSD   xmm,mem         SQRT    single  FMUL       27   2    1/24  FSQRT-27


FRSTOR   reg32/reg64/mem             RESTORE vector  NONE      133  0    1/133  SPECIAL
FSAVE    reg32/reg64/mem             SAVE    vector  NONE      162  0    1/162  SPECIAL
FXRSTOR  reg32/reg64/mem             RESTORE vector  NONE      89   0    1/89  SPECIAL
FXSAVE   reg32/reg64/mem             SAVE    vector  NONE      63   0    1/63  SPECIAL
*INSERTQ xmm,xmm         INSERT  vector  FSTORE     6   0    1/2   SPECIAL
*INSERTQ xmm,xmm,imm,imm INSERT  vector  FSTORE     6   0    1/2   SPECIAL
LDMXCSR  mem8/mem16/mem32/mem64             LOAD    vector  FSTORE    12   0    1/12  SPECIAL
MASKMOVDQU xmm,xmm       MOV     vector  FSTORE    99   0    1/99  SPECIAL
MASKMOVDQU mem,xmm,xmm   MOV     vector  FSTORE    99   0    1/99  SPECIAL
MASKMOVQ   mm,mm         MOV     vector  FSTORE    99   0    1/99  SPECIAL
MASKMOVQ   mem,mm,mm     MOV     vector  FSTORE    99   0    1/99  SPECIAL

STMXCSR  none            STORE   vector  FSTORE    12   0    1/12  SPECIAL
STMXCSR  mem8/mem16/mem32/mem64            STORE   vector  FSTORE    12   0    1/12  SPECIAL

/* General Purpose Instructions */

/*  Instruction;Operands;Operation;Decode Unit;Execution Unit;Base Latency;*/
/*              +Memory Latency;Throughput;Category       */

/* Documentation & Agner Latency Tables assume data is ready in L1 cache for instrs with mem operands */
/* We have removed this assumption because in the model address generation and cache access is handeled */
/* separately and thus the latency here only represents the cycles incurred in an exuction unit only */
/* Latencies for vector-path instructions are left as is */


*ADC     reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64/imm     ADD     single  ALU        1    0    3/1   ALU-1 
*ADC     mem8/mem16/mem32/mem64,reg8/reg16/reg32/reg64/imm     ADD     single  ALU        1    0    1/1   STORE-4
*ADC     reg8/reg16/reg32/reg64,mem         ADD     single  ALU        1    0    2/1   ALU-1 

*ADD     reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64/imm     ADD     single  ALU        1    0    3/1   ALU-1 
*ADD     mem8/mem16/mem32/mem64,reg8/reg16/reg32/reg64/imm     ADD     single  ALU        1    0    1/1   STORE-4
*ADD     reg8/reg16/reg32/reg64,mem         ADD     single  ALU        1    0    2/1   ALU-1 

*AND     reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64/imm     ADD     single  ALU        1    0    3/1   ALU-1 
*AND     mem8/mem16/mem32/mem64,reg8/reg16/reg32/reg64/imm     ADD     single  ALU        1    0    1/1   STORE-4
*AND     reg8/reg16/reg32/reg64,mem         ADD     single  ALU        1    0    2/1   ALU-1 

*BSF      reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64         SCAN    vector  ALU        4    0    1/3   ALU-4 
*BSF      reg8/reg16/reg32/reg64,mem                            SCAN    vector  ALU        4    0    1/3   ALU-4 
*BSR      reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64         SCAN    vector  ALU        4    0    1/3   ALU-4 
*BSR      reg8/reg16/reg32/reg64,mem                            SCAN    vector  ALU        4    0    1/3   ALU-4 

BSWAP    reg8/reg16/reg32/reg64             SWAP    single  ALU        1    0    1/1   ALU-1 

*BT      reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64/imm     BCPY    single  ALU        1    0    3/1   ALU-1 
*BT      mem8/mem16/mem32/mem64,imm         BCPY    single  ALU        1    0    3/1   ALU-1 
*BT      mem,reg8/reg16/reg32/reg64         BCPY    vector  ALU        7    0    1/2   ALU-7 

*BTC     reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64/imm     BCPY    double  ALU        2    0    3/1   ALU-2 
*BTC     mem,reg8/reg16/reg32/reg64         BCPY    vector  ALU        8    0    1/10   ALU-7 
*BTC     mem8/mem16/mem32/mem64,imm         BCPY    vector  ALU        9    0    2/3   ALU-7 

*BTR     reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64/imm     BCPY    double  ALU        2    0    3/1   ALU-2 
*BTR     mem,reg8/reg16/reg32/reg64         BCPY    vector  ALU        8    0    1/7   ALU-7 
*BTR     mem8/mem16/mem32/mem64,imm         BCPY    vector  ALU        9    0    2/3   ALU-7 

*BTS     reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64/imm     BCPY    double  ALU        2    0    3/1   ALU-2 
*BTS     mem,reg8/reg16/reg32/reg64         BCPY    vector  ALU        8    0    1/7   ALU-7 
*BTS     mem8/mem16/mem32/mem64,imm         BCPY    vector  ALU        9    0    2/3   ALU-7 

*CMP      reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64/imm     CMP     single  ALU        1    0    3/1   ALU-1 
*CMP      mem8/mem16/mem32/mem64,reg8/reg16/reg32/reg64/imm     CMP     single  ALU        1    0    3/1   ALU-1 */
*CMP      reg8/reg16/reg32/reg64/mem,mem     	                CMP     single  ALU        1    0    2/1   ALU-1 
*CMPS     reg8/reg16/reg32/reg64/none                           CMP     vector  ALU       6    0    1/3   ALU-6 
*CMPSB    reg8/none                                             CMP     vector  ALU       6    0    1/3   ALU-6 
*CMPSW    reg16/none                                            CMP     vector  ALU       6    0    1/3   ALU-6 
*CMPSD    reg32/none                                            CMP     vector  ALU       6    0    1/3   ALU-6 
*CMPSQ    reg64/none                                            CMP     vector  ALU       6    0    1/3   ALU-6 
*CMPXCHG reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64          CMP     vector  ALU        3    0    1/1   ALU-3 
*CMPXCHG mem8,reg8                                              CMP     vector  ALU        6    0    1/1   ALU-6 
*CMPXCHG mem16/mem32/mem64,reg16/reg32/reg64                    CMP     vector  ALU        5    0    1/1   ALU-5 
*CMPXCHG8B  mem64                                               CMP     vector  ALU       10   0    1/1   ALU-10
*CMPXCHG16B mem128                                              CMP     vector  ALU       11   0    1/1   ALU-11

*DEC      reg8/reg16/reg32/reg64             ADD     single  ALU        1    0    3/1   ALU-1 
*INC      reg8/reg16/reg32/reg64             ADD     single  ALU        1    0    3/1   ALU-1 
*NEG      reg8/reg16/reg32/reg64             ADD     single  ALU        1    0    3/1   ALU-1 
*DEC      mem8/mem16/mem32/mem64             ADD     single  ALU        1    0    1/2   ALU-1 
*INC      mem8/mem16/mem32/mem64             ADD     single  ALU        1    0    1/2   ALU-1 
*NEG      mem8/mem16/mem32/mem64             ADD     single  ALU        1    0    1/2   ALU-1 
*NOT      reg8/reg16/reg32/reg64             ADD     single  ALU        1    0    3/1   ALU-1 
*NOT      mem8/mem16/mem32/mem64             ADD     single  ALU        1    0    1/1   ALU-1 
*OR      reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64/imm     ADD     single  ALU        1    0    3/1   ALU-1 
*OR      mem8/mem16/mem32/mem64,reg8/reg16/reg32/reg64/imm     ADD     single  ALU        1    0    1/1   STORE-4
*OR      reg8/reg16/reg32/reg64,mem         ADD     single  ALU        1    0    2/1   ALU-1 

/* latency of RCL/RCR depends on whether imm is 1 or another value, we assume it's another value */
/* if the imm value is 1, then it's a single-path instr with latency 1 */
*RCL     reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64          ROT     vector  ALU        6    0    1/3   ALU-6 
*RCL     reg8/reg16/reg32/reg64,imm         ROT     vector  ALU        7    0    1/3   ALU-7 
*RCL     mem8/mem16/mem32/mem64,imm         ROT     vector  ALU        7    0    1/3   ALU-7 
*RCL     mem,reg8/reg16/reg32/reg64          ROT     vector  ALU        7    0    1/3   ALU-7 

*RCR     reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64          ROT     vector  ALU        6    0    1/3   ALU-6 
*RCR     reg8/reg16/reg32/reg64,imm         ROT     vector  ALU        5    0    1/3   ALU-5 
*RCR     mem8/mem16/mem32/mem64,imm         ROT     vector  ALU        5    0    1/3   ALU-5
*RCR     mem,reg8/reg16/reg32/reg64         ROT     vector  ALU        5    0    1/3   ALU-5 

*ROL     reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64/imm    ROT     single  ALU        1    0    3/1   ALU-1 
*ROR     reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64/imm    ROT     single  ALU        1    0    3/1   ALU-1 
*ROL     mem8/mem16/mem32/mem64,reg8/reg16/reg32/reg64/imm    ROT     single  ALU        1    0    1/1   ALU-1 
*ROR     mem8/mem16/mem32/mem64,reg8/reg16/reg32/reg64/imm    ROT     single  ALU        1    0    1/1   ALU-1 
*SAL     reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64/imm    ROT     single  ALU        1    0    3/1   ALU-1 
*SAL     mem8/mem16/mem32/mem64,reg8/reg16/reg32/reg64/imm    ROT     single  ALU        1    0    1/1   ALU-1 
*SAR     reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64/imm    ROT     single  ALU        1    0    3/1   ALU-1 
*SAR     mem8/mem16/mem32/mem64,reg8/reg16/reg32/reg64/imm    ROT     single  ALU        1    0    1/1   ALU-1 
*SHR     reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64/imm    ROT     single  ALU        1    0    3/1   ALU-1 
*SHR     mem8/mem16/mem32/mem64,reg8/reg16/reg32/reg64/imm    ROT     single  ALU        1    0    1/1   ALU-1 
*SHL     reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64/imm    ROT     single  ALU        1    0    3/1   ALU-1 
*SHL     mem8/mem16/mem32/mem64,reg8/reg16/reg32/reg64/imm    ROT     single  ALU        1    0    1/1   ALU-1 
*SBB     reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64/imm    ADD     single  ALU       1    0    3/1   ALU-1 
*SBB     mem8/mem16/mem32/mem64,reg8/reg16/reg32/reg64/imm    ADD     single  ALU       1    0    1/1   STORE-4
*SBB     reg8/reg16/reg32/reg64,mem                           ADD     single  ALU        1    0    2/1   ALU-1 
*SUB     reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64/imm    ADD     single  ALU        1    0    3/1   ALU-1 
*SUB     mem8/mem16/mem32/mem64,reg8/reg16/reg32/reg64/imm    ADD     single  ALU        1    0    1/1   STORE-4
*SUB     reg8/reg16/reg32/reg64,mem                           ADD     single  ALU        1    0    2/1   ALU-1 
*TEST    reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64/imm	  AND     single  ALU        1    0    3/1   ALU-1 
*TEST    reg8/reg16/reg32/reg64,mem 	                       AND     single  ALU        1    0    2/1   ALU-1 
*TEST    mem8/mem16/mem32/mem64,reg/imm 	                    AND     single  ALU        1    0    1/1   ALU-1 
*XOR     reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64/imm    ADD     single  ALU        1    0    3/1   ALU-1 
*XOR     mem8/mem16/mem32/mem64,reg8/reg16/reg32/reg64/imm    ADD     single  ALU        1    0    1/1   STORE-4
*XOR     reg8/reg16/reg32/reg64,mem                           ADD     single  ALU        1    0    2/1   ALU-1 
CBW      reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64         CNVT    single  ALU       1    0    3/1   ALU-1
CWDE     reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64         CNVT    single  ALU       1    0    3/1   ALU-1
CDQE     reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64         CNVT    single  ALU       1    0    3/1   ALU-1
CWD      reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64         CNVT    single  ALU       1    0    3/1   ALU-1
CDQ      reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64         CNVT    single  ALU       1    0    3/1   ALU-1
CQO      reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64         CNVT    single  ALU       1    0    3/1   ALU-1
CLC      reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64         CLRF    single  ALU       1    0    3/1   ALU-1
CLD      reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64         CLRF    single  ALU       1    0    3/1   ALU-1
CMC      reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64         CLRF    single  ALU       1    0    3/1   ALU-1

CBW      none         CNVT    single  ALU       1    0    3/1   ALU-1
CWDE     none         CNVT    single  ALU       1    0    3/1   ALU-1
CDQE     none         CNVT    single  ALU       1    0    3/1   ALU-1
CWD      none         CNVT    single  ALU       1    0    3/1   ALU-1
CDQ      none         CNVT    single  ALU       1    0    3/1   ALU-1
CQO      none         CNVT    single  ALU       1    0    3/1   ALU-1
CLC      none         CLRF    single  ALU       1    0    3/1   ALU-1
CLD      none         CLRF    single  ALU       1    0    3/1   ALU-1
CMC      none         CLRF    single  ALU       1    0    3/1   ALU-1


/*  The cc in CMOVcc/JCC is a condition code.  These are in the instruction manual,*/
CMOVCC   reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64         CMOV    single  ALU       1    0    3/1   ALU-1
CMOVCC   reg8/reg16/reg32/reg64,mem         CMOV    single  ALU       1    0    2/1   ALU-1
JCC      disp8/disp16/disp32/disp64/disp128 COND    single  ALU       1    0    1/1   ALU-1 
JCXZ     disp8/disp16/disp32/disp64/disp128 COND    double  ALU       2    0    1/1   ALU-2
JECXZ    disp8/disp16/disp32/disp64/disp128 COND    double  ALU       2    0    1/1   ALU-2
JRCXZ    disp8/disp16/disp32/disp64/disp128 COND    double  ALU       2    0    1/1   ALU-2

/* Waleed: far jumps have longer latencies but don't know how to put entry here */
JMP     disp8/disp16/disp32/disp64/disp128        JMP     single  ALU       1    0    1/1   ALU-1
JMP     reg8/reg16/reg32/reg64                    JMP     single  ALU       1    0    1/1   ALU-1
JMP     mem8/mem16/mem32/mem64/mem128             JMP     single  ALU       1    0    1/1   ALU-1
LAHF     none            LDF     vector  ALU        3    0    1/2   ALU-3
/*  Mem addresses with a base and an index only have latency 1; mem   */
/*  addresses that have a base, index, and scale have a latency of 2. */
/* Waleed: LEA does not actually perform a load, it only computes Eff. Address */
/* Waleed: change source operand to reg */
LEA      reg32/reg64,reg                          LOAD    single  AGU       2    0    3/1   LOAD-1
LEA      reg16,reg                                LOAD    vector  AGU       3    0    1/1   LOAD-3
LEAVE    reg8/reg16/reg32/reg64,mem               STACK   double  ALU        3    0    1/3   SPECIAL
LEAVE    none                                     STACK   double  ALU        3    0    1/3   SPECIAL
LEAVE    reg8/reg16/reg32/reg64                   STACK   double  ALU        3    0    1/3   SPECIAL

LODS     reg,mem8/mem16/mem32/mem64               LOADS   vector  ALU       5    0    1/2   LOAD-5
LODSB    reg,mem8                                 LOADS   vector  ALU       5    0    1/2   LOAD-5
LODSW    reg,mem16                                LOADS   vector  ALU       5    0    1/2   LOAD-5
LODSD    reg,mem32                                LOADS   vector  ALU       4    0    1/2   LOAD-4
LODSQ    reg,mem64                                LOADS   vector  ALU       5    0    1/2   LOAD-5

*LOOPCC  disp64                                                    COND    vector  ALU       7    0    1/1   ALU-7 
*LOOPCC  disp32                                                    COND    vector  ALU       8    0    1/1   ALU-8 
*LZCNT   reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64/mem         CNT     single  ALU2      2    0    1/1   ALU-2 


*MOV     reg8/reg16/reg32/reg64,reg8/reg16/reg32/reg64/imm         MOV     single  ALU       1    0    3/1   ALU-1
*MOV     mem8/mem16/mem32/mem64,reg8/reg16/reg32/reg64/imm         MOV     single  ALU       1    0    2/1   ALU-1
*MOV     reg8/reg16,mem                                            MOV     single  ALU       2    0    2/1   ALU-1
