/* 64- and 128- Bit Instructions */
/*  Instruction;Operands;Operation;Decode Unit;Execution Unit;Base Latency;+Memory Latency;Throughput;Category  */
/*  By default, if an instruction has no character to its left, this means that there is always a 2-cycle difference */
/*  between that instruction have only xmmister operands and that instruction having a memory operand.               */
/*  Any instruction that has a memory operand as its second operand is a LOAD.					     */
/*  Instructions with an * in front of them means that the operands must be inspected before you can tell which      */
/*  execution it will use and, therefore, its latency.  							     */

*IMUL    reg32,reg32,imm single  single  ALU0       3    0    1/1   ALU-3 
*CMPXCHG reg,reg         vector  vector  ALU        3    0    1/1   ALU-3 


*PUSH    mem             double  double  AGU        3    0    1/1   AGU-3 
*POP     mem             vector  vector  AGU        3    0    1/1   AGU-3 


*CALL    disp/reg        double  double  NONE       3    0    1/1   NONE-3
LAHF     none            vector  vector  NONE       3    0    1/1   NONE-3
*MOV     reg32/64,FS     single  single  NONE       3    0    1/1   NONE-3
*POP     reg32/64        single  single  NONE       3    0    1/1   NONE-3
*PUSH    reg/imm         single  single  NONE       3    0    1/1   NONE-3
*PUSH    CS/DS/ES/FS/GS/SS double  double  NONE       3    0    1/1   NONE-3


*BT      mem,imm         single  single  ALU        4    0    1/1   ALU-4 
BSF      reg,reg         vector  vector  ALU        4    3    1/1   ALU-4 
BSR      reg,reg         vector  vector  ALU        4    3    1/1   ALU-4 
*RCL     mem,1           single  single  ALU        4    0    1/1   ALU-4 
*RCR     reg,CL          vector  vector  ALU        4    0    1/1   ALU-4 
*RCR     mem,1           single  single  ALU        4    0    1/1   ALU-4 
*SAL     mem,1/CL/imm    single  single  ALU        4    0    1/1   ALU-4 
*SAR     mem,1/CL/imm    single  single  ALU        4    0    1/1   ALU-4 
*SHL     mem,1/CL/imm    single  single  ALU        4    0    1/1   ALU-4 
*SHLD    reg,reg,CL/imm  vector  vector  ALU        4    0    1/1   ALU-4 
*SHR     mem,1/CL/imm    single  single  ALU        4    0    1/1   ALU-4 
*SHRD    reg,reg,CL/imm  vector  vector  ALU        4    0    1/1   ALU-4 
*TEST    mem,reg/imm     single  single  ALU        4    0    1/1   ALU-4 


*JMP     mem             single  single  AGU        4    0    1/1   AGU-4 
*CALL    mem             vector  vector  AGU        4    0    1/1   AGU-4 


*RET     none            single  single  NONE       4    0    1/1   NONE-4
*RET     imm16           double  double  NONE       4    0    1/1   NONE-4


*MOV     reg32,SS/DS     single  single  NONE       4    0    1/1   NONE-4
*POP     reg16           double  double  NONE       4    0    1/1   NONE-4
SCAS     none            vector  vector  NONE       4    0    1/1   NONE-4
SCASB    none            vector  vector  NONE       4    0    1/1   NONE-4
SCASW    none            vector  vector  NONE       4    0    1/1   NONE-4
SCASD    none            vector  vector  NONE       4    0    1/1   NONE-4
SCASQ    none            vector  vector  NONE       4    0    1/1   NONE-4


*IMUL    reg16           vector  vector  ALU0       4    0    1/1   ALU-4 
*MUL     reg16           vector  vector  ALU0       4    0    1/1   ALU-4 
*IMUL    reg16,imm16     vector  vector  ALU0       4    2    1/1   ALU-4 
*IMUL    reg16,reg16,imm vector  vector  ALU0       4    0    1/1   ALU-4 
*IMUL    reg64,imm64     single  single  ALU0       4    3    1/1   ALU-4 
*IMUL    reg64,reg64     single  single  ALU0       4    0    1/1   ALU-4 
*IMUL    reg64,reg64,imm single  single  ALU0       4    0    1/1   ALU-4 


*BTC     mem,imm         vector  vector  ALU        5    0    1/1   ALU-5 
*BTR     mem,imm         vector  vector  ALU        5    0    1/1   ALU-5 
*BTS     mem,imm         vector  vector  ALU        5    0    1/1   ALU-5 
*CMPXCHG mem16/32/64,reg16/32/64 vector  vector  ALU        5    0    1/1   ALU-5 
*RCR     reg,imm         vector  vector  ALU        5    0    1/1   ALU-5 
*IMUL    reg64           double  double  ALU0       5    0    1/1   ALU-5 
*MUL     reg64           double  double  ALU0       5    0    1/1   ALU-5 


XLAT     none            vector  vector  NONE       5    0    1/1   NONE-5
XLATB    none            vector  vector  NONE       5    0    1/1   NONE-5


BOUND    reg,mem         vector  vector  ALU        6    0    1/1   ALU-6 
CMPS     none            vector  vector  ALU        6    0    1/1   ALU-6 
CMPSB    none            vector  vector  ALU        6    0    1/1   ALU-6 
CMPSW    none            vector  vector  ALU        6    0    1/1   ALU-6 
CMPSD    none            vector  vector  ALU        6    0    1/1   ALU-6 
CMPSQ    none            vector  vector  ALU        6    0    1/1   ALU-6 
*CMPXCHG mem8,reg8       vector  vector  ALU        6    0    1/1   ALU-6 
*RCL     reg,CL          vector  vector  ALU        6    0    1/1   ALU-6 
*RCR     mem,imm/CL      vector  vector  ALU        6    0    1/1   ALU-6 
*IMUL    mem8            single  single  ALU0       6    0    1/1   ALU-6 
*MUL     mem8            single  single  ALU0       6    0    1/1   ALU-6 
*IMUL    mem32           double  double  ALU0       6    0    1/1   ALU-6 
*MUL     mem32           double  double  ALU0       6    0    1/1   ALU-6 
*SHLD    mem,reg,CL/imm  vector  vector  ALU        6    0    1/1   ALU-6 
*SHRD    mem,reg,CL/imm  vector  vector  ALU        6    0    1/1   ALU-6 


POPA     none            vector  vector  NONE       6    0    1/1   NONE-6
POPAD    none            vector  vector  NONE       6    0    1/1   NONE-6
PUSHA    none            vector  vector  NONE       6    0    1/1   NONE-6
PUSHAD   none            vector  vector  NONE       6    0    1/1   NONE-6


*BT      mem,reg         vector  vector  ALU        7    0    1/1   ALU-7 
*LOOPcc  pm64            vector  vector  ALU        7    0    1/1   ALU-7 
*RCL     reg,imm         vector  vector  ALU        7    0    1/1   ALU-7 
*RCL     mem,imm/CL      vector  vector  ALU        7    0    1/1   ALU-7 
*IMUL    reg16,mem16,imm vector  vector  ALU0       7    0    1/1   ALU-7 
*IMUL    reg32,mem32,imm vector  vector  ALU0       7    0    1/1   ALU-7 
*IMUL    mem16           vector  vector  ALU0       7    0    1/1   ALU-7 
*MUL     mem16           vector  vector  ALU0       7    0    1/1   ALU-7 


*BTC     mem,reg         vector  vector  ALU        8    0    1/1   ALU-8 
*BTR     mem,reg         vector  vector  ALU        8    0    1/1   ALU-8 
*BTS     mem,reg         vector  vector  ALU        8    0    1/1   ALU-8 
*LOOPcc  pm32            vector  vector  ALU        8    0    1/1   ALU-8 
*IMUL    reg64,mem64,imm vector  vector  ALU0       8    0    1/1   ALU-8 
*IMUL    mem64           double  double  ALU0       8    0    1/1   ALU-8 
*MUL     mem64           double  double  ALU0       8    0    1/1   ALU-8 


*MOV     DS,reg32        vector  vector  NONE       8    0    1/1   NONE-8
*MOV     FS,reg32/64     vector  vector  NONE       8    0    1/1   NONE-8


CMPXCHG8B mem64           vector  vector  ALU        10   0    1/1   ALU-10


*MOV     SS,reg32        vector  vector  NONE       10   0    1/1   NONE-10
*POP     DS/ES/FS/GS     vector  vector  NONE       10   0    1/1   NONE-10


CMPXCHG16B mem128          vector  vector  ALU        11   0    1/1   ALU-11


POPF     none            vector  vector  NONE       15   0    1/1   NONE-15
POPFD    none            vector  vector  NONE       15   0    1/1   NONE-15
POPFQ    none            vector  vector  NONE       15   0    1/1   NONE-15


*POP     SS              vector  vector  NONE       26   0    1/1   NONE-26
	

/*  For division, we have a problem.  The latency is dependent on the size of the operand. */
/*  We probably need to collect stats on this from the application.  With any luck, these  */
/*  don't occur very often.  The latency ranges between 17 and 72 cycles.  See page 142    */
/*  of the Software Optimization Manual (40546.pdf) for the details.                       */  
DIV      reg,mem         vector  vector  ALU        99   0    1/99  ALU   
IDIV     reg,mem         vector  vector  ALU        99   0    1/99  ALU   


/*  For the PUSHF, PUSHFD, and PUSHFQ instructions, there is no latency listed.            */
PUSHF    none            vector  vector  NONE       99   0    1/99  NONE  
PUSHFD   none            vector  vector  NONE       99   0    1/99  NONE  
PUSHFQ   none            vector  vector  NONE       99   0    1/99  NONE  


/*  Mem addresses with a base and an index only have latency 1; mem addresses that have a  */
/*  base, index, and scale have a latnecy of 2.                                            */
LEA      reg32/64,mem    single  single  AGU        1    0    1/1   LOAD-1


LEA      reg16,mem       vector  vector  AGU        3    0    1/1   LOAD-3
*MOV     reg,mem32/64    single  single  AGU        3    0    1/1   LOAD-3



LODSD    none            vector  vector  NONE       4    0    1/1   LOAD-4
*MOV     reg,mem8/16     single  single  AGU        4    0    1/1   LOAD-4



LODS     none            vector  vector  NONE       5    0    1/1   LOAD-5
LODSW    none            vector  vector  NONE       5    0    1/1   LOAD-5

/*  I'm not sure about the latency on the LOADSQ instruction.  This is in the instruction   */
/*  description (24594.pdf,pg 149), but is not in 40546.pdf (page 244).  I'm guessing a     */
/*  latency of 5, but I think this will need to be micro-benchmarked.                       */
LODSQ    none            vector  vector  NONE       5    0    1/1   LOAD-5


*MOV     DS,mem32        vector  vector  AGU        10   0    1/1   LOAD-10
*MOV     FS,mem16        vector  vector  AGU        10   0    1/1   LOAD-10


*XCHG    reg32/64,mem32/64 double  double  AGU        15   0    1/1   LOAD-15


*XCHG    reg8,mem8       vector  vector  AGU        16   0    1/1   LOAD-16
*XCHG    reg16,mem16     double  double  AGU        16   0    1/1   LOAD-16


*MOV     SS,mem32        vector  vector  AGU        26   0    1/1   LOAD-26


*MOV     mem,reg/imm     single  single  AGU        3    0    1/1   STORE-3


*ADC     mem,reg/imm     single  single  ALU        4    0    1/1   STORE-4
*ADD     mem,reg/imm     single  single  ALU        4    0    1/1   STORE-4
*AND     mem,reg/imm     single  single  ALU        4    0    1/1   STORE-4
*OR      mem,reg/imm     single  single  ALU        4    0    1/1   STORE-4
*MOV     mem16,FS        double  double  AGU        4    0    1/1   STORE-4
*MOV     mem32,SS/DS     double  double  AGU        4    0    1/1   STORE-4
*SBB     mem,reg/imm     single  single  ALU        4    0    1/1   STORE-4
STOS     none            vector  vector  NONE       4    0    1/1   STORE-4
STOSB    none            vector  vector  NONE       4    0    1/1   STORE-4
STOSW    none            vector  vector  NONE       4    0    1/1   STORE-4
STOSD    none            vector  vector  NONE       4    0    1/1   STORE-4
STOSQ    none            vector  vector  NONE       4    0    1/1   STORE-4
*SUB     mem,reg/imm     single  single  ALU        4    0    1/1   STORE-4
*XOR     mem,reg/imm     single  single  ALU        4    0    1/1   STORE-4


MOVS     none            vector  vector  NONE       5    0    1/1   STORE-5
MOVSB    none            vector  vector  NONE       5    0    1/1   STORE-5
MOVSW    none            vector  vector  NONE       5    0    1/1   STORE-5
MOVSD    none            vector  vector  NONE       5    0    1/1   STORE-5
MOVSQ    none            vector  vector  NONE       5    0    1/1   STORE-5
*XADD    mem,reg         vector  vector  ALU        5    0    1/1   STORE-5


*XCHG    mem32/64,reg32/64 double  double  AGU        15   0    1/1   STORE-15


*XCHG    mem8,reg8       vector  vector  AGU        16   0    1/1   STORE-16
*XCHG    mem16,reg16     double  double  AGU        16   0    1/1   STORE-16


/*  The MOVNTI instruction's latency may be variable.  It uses the processor's    */
/*  write-combining resources.  Should microbenchmark to determine latency.       */
MOVNTI   mem,reg         single  single  AGU        99   0    1/1   STORE-X

	
*CPUID   fn0x0           vector  vector  ALU        41   0    1/1   SPECIAL
*CPUID   fn0x1           vector  vector  ALU        127  0    1/1   SPECIAL
*CPUID   fn0x2           vector  vector  ALU        37   0    1/1   SPECIAL
DAA      none            vector  vector  ALU        7    0    1/1   SPECIAL
DAS      none            vector  vector  ALU        7    0    1/1   SPECIAL
*ENTER   imm32,0         vector  vector  ALU        14   0    1/1   SPECIAL
*ENTER   imm32,1         vector  vector  ALU        17   0    1/1   SPECIAL
*ENTER   imm32,2         vector  vector  ALU        19   0    1/1   SPECIAL
LEAVE    none            double  double  ALU        3    0    1/1   SPECIAL
NOP      none            none    none    none       1    0    1/1   SPECIAL
RDTSC    none            none    none    none       1    0    1/1   SPECIAL
SYSCALL  none            none    none    none       1    0    1/1   SPECIAL
